                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                 1.2721,                 0.7156,                 1.2048,                0.64195,                    0.5,                0.41442,                0.19844,                 2.6384,                 2.3513,                  2.597,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.5751,                0.69317,                  1.259,                0.64816,                    0.5,                0.41386,                0.22281,                 2.5991,                 2.5344,                 2.4417,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.5072,                 0.7139,                 1.1348,                0.70581,                   0.75,                0.70333,                0.25219,                 2.3669,                 1.6797,                 1.9968,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.5359,                0.71003,                 1.1913,                 0.7859,                      1,                  0.895,                0.39816,                 2.1195,                 1.1083,                 1.7689,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.4009,                0.66121,                 1.1621,                0.78946,                      1,                  0.845,                0.42295,                 1.8641,                0.97398,                 1.5542,                0.00101,                0.00101,                0.00101
                     52,                 1.1482,                0.68545,                0.93493,                0.78925,                      1,                  0.945,                 0.3983,                 1.8688,                0.88885,                 1.5116,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.7503,                0.71252,                  1.233,                      1,                0.93249,                  0.995,                0.35203,                  1.864,                 1.0199,                 1.5832,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.6551,                0.68737,                 1.2922,                0.79994,                      1,                  0.945,                0.34647,                 1.9805,                0.98699,                 1.7105,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.0288,                0.54497,                0.86464,                      1,                0.95944,                  0.995,                0.34392,                 2.0371,                0.99293,                 1.8261,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.4558,                0.62357,                 1.2168,                0.96384,                      1,                  0.995,                0.32634,                 2.0612,                0.95066,                 1.6883,               0.000911,               0.000911,               0.000911
                     57,                  1.282,                0.60876,                 1.0987,                0.79035,                      1,                  0.995,                0.33507,                 1.8242,                0.93279,                 1.5126,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.3571,                0.65084,                 1.1529,                0.93761,                      1,                  0.995,                0.42909,                 1.7997,                0.96583,                 1.4792,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.4483,                0.69696,                 1.1986,                0.93929,                      1,                  0.995,                 0.4671,                 1.7783,                0.99816,                 1.4776,              0.0008516,              0.0008516,              0.0008516
